purchase_id,customer_id,product_id,purchased_at,quantity
O0110,C024,P173,2025-12-31,2
O0111,C024,P155,2026-01-01,1
O0112,C024,P084,2026-03-16,1
O0113,C024,P143,2026-03-28,1
O0114,C024,P133,2026-07-23,1
O0115,C024,P156,2026-07-23,1
O0116,C025,P012,2025-09-08,1
O0117,C025,P060,2026-04-04,1
O0118,C025,P058,2026-08-01,1
O0119,C026,P032,2025-07-12,2
O0120,C026,P143,2025-08-13,1
O0121,C026,P023,2026-01-08,1
O0122,C026,P096,2026-01-23,1
O0123,C026,P102,2026-03-22,2
O0124,C026,P008,2026-07-06,1
O0125,C027,P118,2025-07-07,1
O0126,C027,P152,2025-10-14,1
O0127,C027,P074,2025-10-21,1
O0128,C027,P089,2026-01-18,1
O0129,C027,P082,2026-02-01,1
O0130,C027,P121,2026-02-25,1
O0131,C027,P122,2026-04-28,1
O0132,C027,P093,2026-06-26,1
O0133,C028,P031,2025-07-08,1
O0134,C028,P179,2025-09-01,1
O0135,C028,P042,2025-10-23,1
O0136,C028,P071,2025-11-26,2
O0137,C028,P171,2025-12-18,1
O0138,C028,P133,2026-01-27,1
O0139,C028,P190,2026-04-22,1
O0140,C029,P126,2025-11-18,1
O0141,C029,P083,2025-12-20,1
O0142,C029,P139,2026-06-20,1
O0143,C030,P012,2025-07-12,1
O0144,C030,P199,2025-07-28,1
O0145,C030,P155,2025-08-18,1
O0146,C030,P145,2025-09-22,1
O0147,C030,P085,2026-01-14,2
O0148,C030,P114,2026-02-10,1
O0149,C031,P162,2025-08-20,1
O0150,C031,P058,2025-11-04,1
O0151,C031,P137,2026-01-17,1
O0152,C031,P080,2026-01-24,1
O0153,C031,P024,2026-04-22,1
O0154,C031,P118,2026-05-02,1
O0155,C031,P028,2026-05-19,1
O0156,C031,P012,2026-08-01,1
O0157,C032,P096,2025-10-08,1
O0158,C032,P134,2025-10-28,1
O0159,C032,P194,2025-12-16,1
O0160,C032,P099,2026-06-20,1
O0161,C033,P144,2025-08-04,1
O0162,C033,P076,2025-10-20,1
O0163,C033,P179,2026-02-03,1
O0164,C033,P082,2026-04-26,1
O0165,C033,P037,2026-06-24,1
O0166,C034,P174,2025-11-26,2
O0167,C034,P045,2025-11-27,1
O0168,C034,P183,2025-12-23,1
O0169,C034,P125,2026-02-05,1
O0170,C034,P152,2026-02-21,2
O0171,C034,P168,2026-05-23,2
O0172,C034,P146,2026-06-16,1
O0173,C035,P031,2025-11-27,1
O0174,C035,P183,2025-12-18,1
O0175,C035,P078,2026-03-03,1
O0176,C035,P168,2026-03-17,1
O0177,C035,P006,2026-05-03,1
O0178,C036,P035,2025-07-18,1
O0179,C036,P086,2025-08-04,2
O0180,C036,P057,2025-10-14,1
O0181,C036,P073,2025-11-03,1
O0182,C036,P048,2026-02-01,1
O0183,C036,P096,2026-02-11,1
O0184,C036,P095,2026-04-20,1
O0185,C036,P001,2026-04-24,1
O0186,C037,P132,2025-07-28,1
O0187,C037,P176,2025-10-20,3
O0188,C037,P037,2026-07-19,2
O0189,C038,P072,2025-09-20,1
O0190,C038,P022,2026-01-07,1
O0191,C038,P191,2026-05-09,1
O0192,C038,P091,2026-06-11,1
O0193,C038,P093,2026-07-02,1
O0194,C039,P050,2025-10-07,1
O0195,C039,P179,2025-10-26,1
O0196,C039,P143,2025-11-08,1
O0197,C039,P153,2026-05-05,1
O0198,C039,P132,2026-07-17,1
O0199,C040,P167,2025-11-10,1
O0200,C040,P191,2026-03-19,1
O0201,C040,P149,2026-04-20,1
O0202,C041,P029,2025-08-06,1
O0203,C041,P070,2025-08-20,1
O0204,C041,P176,2025-11-06,1
O0205,C041,P107,2026-01-08,1
O0206,C042,P187,2026-03-12,1
O0207,C042,P064,2026-03-18,1
O0208,C042,P117,2026-04-17,1
O0209,C043,P038,2025-07-18,1
O0210,C043,P067,2025-09-17,1
O0211,C043,P106,2025-11-07,1
O0212,C043,P092,2026-01-03,1
O0213,C043,P113,2026-01-24,1
O0214,C043,P174,2026-02-09,1
O0215,C043,P108,2026-06-05,1
O0216,C044,P101,2025-07-23,1
O0217,C044,P040,2025-07-30,1
O0218,C044,P074,2025-11-06,1
O0219,C045,P176,2025-08-17,1
O0220,C045,P190,2025-10-30,1
O0221,C045,P013,2026-03-01,1
O0222,C045,P194,2026-06-18,1
O0223,C045,P170,2026-07-18,2
O0224,C045,P057,2026-07-20,1
O0225,C045,P101,2026-07-21,1
O0226,C045,P100,2026-08-04,1
O0227,C046,P122,2025-11-29,1
O0228,C046,P151,2026-05-02,1
O0229,C047,P089,2025-09-07,1
O0230,C047,P160,2025-11-22,1
O0231,C047,P059,2026-07-06,1
O0232,C048,P123,2026-02-12,1
O0233,C048,P117,2026-02-14,1
O0234,C048,P064,2026-03-24,3
O0235,C048,P093,2026-05-08,1
O0236,C048,P002,2026-06-02,1
O0237,C049,P175,2025-10-05,1
O0238,C049,P157,2025-10-20,1
O0239,C049,P100,2025-11-16,2
O0240,C049,P190,2025-12-08,1
O0241,C049,P197,2026-04-16,1
O0242,C049,P057,2026-06-13,1
O0243,C050,P088,2025-09-16,1
O0244,C050,P038,2025-10-20,1
O0245,C050,P016,2025-12-06,1
O0246,C050,P115,2026-01-23,1
O0247,C050,P073,2026-04-10,2
O0248,C050,P083,2026-05-20,1
O0249,C050,P159,2026-07-31,1
O0250,C051,P199,2025-09-14,1
O0251,C051,P106,2025-12-05,1
O0252,C051,P033,2025-12-15,1
O0253,C051,P043,2026-08-05,1
O0254,C052,P127,2025-08-29,1
O0255,C052,P142,2025-11-29,1
O0256,C052,P186,2026-06-25,1
O0257,C052,P006,2026-06-27,1
O0258,C052,P035,2026-07-05,1
O0259,C053,P080,2025-07-18,1
O0260,C053,P089,2025-11-01,1
O0261,C053,P104,2026-01-14,1
O0262,C053,P100,2026-05-25,1
O0263,C053,P082,2026-06-26,1
O0264,C053,P041,2026-07-07,1
O0265,C053,P012,2026-07-28,1
O0266,C054,P016,2025-07-13,1
O0267,C054,P096,2025-08-06,1
O0268,C054,P058,2025-09-30,3
O0269,C054,P140,2026-04-04,1
O0270,C054,P083,2026-04-09,1
O0271,C055,P183,2025-07-18,1
O0272,C055,P078,2025-08-05,1
O0273,C055,P135,2025-09-24,1
O0274,C055,P118,2025-12-21,1
O0275,C055,P063,2026-05-17,1
O0276,C055,P080,2026-07-16,1
O0277,C056,P109,2025-08-03,1
O0278,C056,P103,2025-08-12,1
O0279,C056,P118,2025-12-06,1
O0280,C056,P080,2025-12-21,1
O0281,C056,P165,2026-06-06,1
O0282,C057,P047,2025-07-12,1
O0283,C057,P168,2025-08-13,1
O0284,C057,P004,2025-11-02,1
O0285,C057,P049,2026-02-16,1
O0286,C057,P051,2026-02-22,1
O0287,C057,P117,2026-06-26,1
O0288,C058,P165,2025-11-08,3
O0289,C058,P199,2025-12-19,1
O0290,C058,P118,2026-02-17,1
O0291,C058,P164,2026-05-04,1
O0292,C058,P012,2026-07-15,1
O0293,C059,P198,2025-10-20,1
O0294,C059,P144,2026-01-09,1
O0295,C059,P199,2026-04-17,1
O0296,C059,P067,2026-07-11,1
O0297,C059,P060,2026-08-05,1
O0298,C060,P135,2025-08-04,3
O0299,C060,P164,2025-08-10,1
O0300,C060,P180,2025-08-29,1
O0301,C060,P132,2026-06-17,1
O0302,C060,P122,2026-07-12,1
O0303,C061,P004,2025-09-15,1
O0304,C061,P075,2026-04-18,1
O0305,C061,P041,2026-06-24,1
O0306,C062,P190,2025-09-11,1
O0307,C062,P044,2025-10-14,1
O0308,C062,P084,2025-12-02,3
O0309,C062,P113,2026-02-18,1
O0310,C062,P085,2026-07-13,1
O0311,C063,P097,2025-09-15,1
O0312,C063,P074,2025-09-15,1
O0313,C063,P149,2025-10-02,1
O0314,C063,P167,2025-12-23,1
O0315,C063,P034,2026-04-09,1
O0316,C063,P191,2026-06-29,1
O0317,C063,P091,2026-07-18,1
O0318,C064,P085,2025-08-28,1
O0319,C064,P027,2025-11-25,1
O0320,C064,P153,2025-11-27,3
O0321,C064,P031,2026-02-25,1
O0322,C064,P177,2026-03-23,1
O0323,C064,P110,2026-06-21,1
O0324,C064,P141,2026-07-07,1
O0325,C065,P080,2025-08-23,1
O0326,C065,P174,2025-11-23,1
O0327,C065,P074,2026-04-30,1
O0328,C066,P142,2025-11-09,1
O0329,C066,P018,2026-01-11,1
O0330,C066,P111,2026-02-14,1
O0331,C066,P163,2026-03-02,1
O0332,C066,P190,2026-07-25,1
O0333,C067,P090,2025-08-30,1
O0334,C067,P195,2025-09-21,1
O0335,C067,P092,2025-11-08,1
O0336,C067,P055,2026-04-24,1
O0337,C067,P023,2026-06-10,1
O0338,C067,P051,2026-07-24,1
O0339,C068,P039,2025-08-09,1
O0340,C068,P075,2026-02-02,3
O0341,C068,P070,2026-02-04,1
O0342,C068,P048,2026-05-08,1
O0343,C068,P068,2026-07-27,2
O0344,C069,P121,2025-07-12,1
O0345,C069,P152,2025-11-02,1
O0346,C069,P023,2026-05-22,1
O0347,C069,P018,2026-07-25,1
O0348,C070,P164,2025-12-09,1
O0349,C070,P117,2026-02-24,1
O0350,C070,P083,2026-04-12,1
O0351,C070,P147,2026-04-15,1
O0352,C070,P122,2026-04-28,2
O0353,C070,P162,2026-05-27,3
O0354,C070,P137,2026-05-28,1
O0355,C071,P100,2025-08-22,1
O0356,C071,P169,2025-09-08,1
O0357,C071,P156,2026-01-05,1
O0358,C071,P117,2026-06-02,1
O0359,C071,P185,2026-06-15,1
O0360,C072,P107,2025-08-18,1
O0361,C072,P110,2025-09-27,1
O0362,C072,P095,2026-01-16,1
O0363,C072,P094,2026-03-23,1
O0364,C073,P191,2025-09-13,1
O0365,C073,P162,2025-11-21,1
O0366,C073,P080,2026-02-22,1
O0367,C073,P101,2026-04-01,2
O0368,C073,P063,2026-06-10,1
O0369,C073,P117,2026-07-06,1
O0370,C074,P008,2025-12-24,1
O0371,C074,P117,2026-04-04,1
O0372,C074,P078,2026-05-06,1
O0373,C074,P142,2026-05-16,1
O0374,C075,P051,2025-08-16,1
O0375,C075,P185,2025-10-04,1
O0376,C075,P142,2025-12-29,1
O0377,C075,P042,2026-01-03,1
O0378,C075,P082,2026-06-07,1
O0379,C076,P088,2025-11-10,1
O0380,C076,P182,2026-01-18,1
O0381,C076,P158,2026-01-30,1
O0382,C076,P170,2026-03-24,1
O0383,C077,P068,2025-12-30,1
O0384,C077,P038,2026-05-14,1
O0385,C077,P080,2026-06-26,2
O0386,C078,P096,2025-12-27,2
O0387,C078,P158,2026-01-06,1
O0388,C078,P128,2026-03-04,1
O0389,C078,P017,2026-06-16,1
O0390,C078,P032,2026-07-06,1
O0391,C078,P155,2026-07-19,1
O0392,C079,P193,2025-09-17,2
O0393,C079,P139,2025-11-14,1
O0394,C079,P104,2026-01-29,1
O0395,C079,P053,2026-02-16,1
O0396,C079,P047,2026-02-28,1
O0397,C079,P089,2026-05-12,1
O0398,C080,P146,2025-12-14,1
O0399,C080,P180,2025-12-28,1
O0400,C080,P143,2025-12-30,1
O0401,C080,P102,2026-03-07,1
O0402,C080,P192,2026-05-07,1
O0403,C081,P182,2025-09-13,1
O0404,C081,P092,2026-03-08,1
O0405,C081,P149,2026-05-16,2
O0406,C081,P085,2026-06-07,1
O0407,C081,P176,2026-06-20,1
O0408,C081,P123,2026-08-02,1
O0409,C081,P170,2026-08-06,1
O0410,C082,P087,2026-03-06,1
O0411,C082,P034,2026-03-21,1
O0412,C082,P122,2026-07-03,2
O0413,C083,P064,2025-07-20,1
O0414,C083,P109,2025-09-16,1
O0415,C083,P008,2025-12-08,1
O0416,C083,P198,2025-12-22,1
O0417,C083,P144,2026-02-27,1
O0418,C083,P096,2026-04-15,1
O0419,C083,P046,2026-06-03,1
O0420,C083,P037,2026-07-11,1
O0421,C083,P160,2026-07-24,1
O0422,C084,P024,2025-09-14,1
O0423,C084,P110,2025-11-09,1
O0424,C084,P180,2026-01-31,1
O0425,C084,P069,2026-02-22,1
O0426,C084,P142,2026-07-01,1
O0427,C085,P149,2026-01-30,1
O0428,C085,P187,2026-04-07,1
O0429,C085,P105,2026-05-08,1
O0430,C086,P088,2026-02-05,1
O0431,C086,P071,2026-02-21,1
O0432,C086,P115,2026-04-09,1
O0433,C087,P080,2025-07-23,1
O0434,C087,P093,2025-07-31,1
O0435,C087,P118,2025-09-24,1
O0436,C087,P195,2025-09-26,1
O0437,C087,P191,2025-11-10,1
O0438,C087,P050,2026-01-28,1
O0439,C088,P084,2025-10-14,1
O0440,C088,P197,2025-10-14,1
O0441,C088,P053,2025-10-22,1
O0442,C088,P066,2026-01-18,1
O0443,C088,P180,2026-02-12,1
O0444,C088,P023,2026-02-18,1
O0445,C088,P183,2026-05-03,1
O0446,C088,P174,2026-06-02,1
O0447,C089,P009,2025-07-13,1
O0448,C089,P064,2025-08-25,1
O0449,C089,P043,2025-09-02,2
O0450,C089,P011,2025-09-13,1
O0451,C089,P136,2026-04-05,1
O0452,C089,P165,2026-04-06,1
O0453,C089,P162,2026-06-10,1
O0454,C089,P003,2026-06-26,1
O0455,C090,P118,2025-08-08,1
O0456,C090,P137,2025-09-20,1
O0457,C090,P096,2025-12-05,1
O0458,C090,P197,2026-02-28,1
O0459,C091,P115,2025-09-06,2
O0460,C091,P062,2026-03-31,1
O0461,C091,P096,2026-07-14,1
O0462,C092,P120,2025-10-25,1
O0463,C092,P147,2025-12-18,1
O0464,C092,P149,2026-04-16,2
O0465,C092,P051,2026-05-15,1
O0466,C092,P183,2026-07-23,1
O0467,C093,P073,2025-07-26,1
O0468,C093,P131,2026-03-27,1
O0469,C093,P187,2026-05-15,1
O0470,C093,P106,2026-06-06,1
O0471,C094,P045,2025-07-29,1
O0472,C094,P011,2025-11-08,1
O0473,C094,P024,2025-12-30,1
O0474,C094,P177,2026-02-27,3
O0475,C094,P040,2026-05-13,1
O0476,C094,P107,2026-07-19,1
O0477,C095,P039,2025-10-10,2
O0478,C095,P053,2025-10-27,1
O0479,C095,P179,2026-02-06,1
O0480,C095,P180,2026-05-16,1
O0481,C095,P006,2026-06-08,3
O0482,C095,P071,2026-06-20,1
O0483,C096,P058,2025-08-19,2
O0484,C096,P075,2026-02-25,1
O0485,C097,P081,2025-10-14,1
O0486,C097,P051,2025-11-29,1
O0487,C097,P053,2025-12-25,1
O0488,C097,P185,2026-01-11,1
O0489,C098,P142,2025-10-30,1
O0490,C098,P019,2025-11-09,1
O0491,C098,P190,2025-12-29,1
O0492,C098,P179,2026-02-21,1
O0493,C099,P108,2025-08-27,1
O0494,C099,P062,2025-08-30,1
O0495,C099,P114,2025-09-11,1
O0496,C099,P046,2026-02-19,1
O0497,C099,P194,2026-06-20,3
O0498,C099,P170,2026-06-23,1
O0499,C099,P043,2026-07-23,1
O0500,C100,P078,2025-07-25,1
O0501,C100,P093,2025-12-04,1
O0502,C100,P066,2026-01-17,1
O0503,C100,P121,2026-07-21,1
O0504,C101,P148,2025-07-07,1
O0505,C101,P153,2025-08-01,1
O0506,C101,P096,2025-08-30,1
O0507,C101,P001,2025-09-13,1
O0508,C101,P172,2025-10-30,1
O0509,C101,P131,2025-11-17,1
O0510,C101,P078,2026-04-25,1
O0511,C101,P155,2026-04-29,1
O0512,C101,P097,2026-05-12,2
O0513,C102,P140,2025-09-04,1
O0514,C102,P083,2025-11-16,1
O0515,C102,P075,2026-07-07,1
O0516,C103,P123,2026-02-01,1
O0517,C103,P048,2026-02-13,2
O0518,C103,P162,2026-05-13,2
O0519,C104,P061,2025-07-16,1
O0520,C104,P044,2025-12-22,1
O0521,C104,P199,2026-03-19,1
O0522,C104,P197,2026-06-19,1
O0523,C104,P056,2026-07-22,1
O0524,C105,P128,2025-09-12,1
O0525,C105,P141,2026-03-22,1
O0526,C105,P183,2026-06-05,1
O0527,C106,P121,2025-08-09,1
O0528,C106,P102,2025-11-17,1
O0529,C106,P041,2025-12-22,1
O0530,C106,P194,2026-01-11,1
O0531,C106,P013,2026-08-03,1
O0532,C106,P103,2026-08-04,1
O0533,C107,P152,2025-08-05,1
O0534,C107,P123,2025-12-04,1
O0535,C107,P121,2026-01-07,1
O0536,C107,P039,2026-01-23,3
O0537,C107,P078,2026-01-30,1
O0538,C107,P144,2026-02-09,1
O0539,C107,P034,2026-04-30,1
O0540,C107,P096,2026-05-09,1
O0541,C108,P010,2025-11-03,1
O0542,C108,P028,2025-12-17,1
O0543,C108,P054,2025-12-23,3
O0544,C108,P035,2026-04-21,1
O0545,C108,P199,2026-05-21,1
O0546,C108,P012,2026-07-12,1
O0547,C109,P169,2026-02-23,1
O0548,C109,P124,2026-07-25,1
O0549,C109,P126,2026-08-03,1
O0550,C110,P085,2026-05-05,1
O0551,C110,P063,2026-06-01,3
O0552,C111,P149,2025-09-21,1
O0553,C111,P139,2025-10-02,1
O0554,C111,P006,2025-10-29,1
O0555,C111,P084,2025-11-10,1
O0556,C111,P091,2026-07-08,1
O0557,C112,P046,2025-07-08,1
O0558,C112,P066,2025-10-12,1
O0559,C112,P167,2026-01-08,2
O0560,C112,P198,2026-04-13,1
O0561,C112,P109,2026-04-27,1
O0562,C113,P174,2026-05-27,1
O0563,C113,P002,2026-07-19,1
O0564,C114,P131,2025-08-21,1
O0565,C114,P082,2025-09-18,1
O0566,C114,P179,2025-11-18,1
O0567,C114,P162,2026-02-26,1
O0568,C114,P145,2026-03-22,1
O0569,C114,P008,2026-06-13,3
O0570,C114,P053,2026-06-26,1
O0571,C114,P089,2026-07-11,1
O0572,C115,P051,2025-11-07,1
O0573,C115,P165,2026-03-13,1
O0574,C115,P085,2026-03-23,1
O0575,C115,P024,2026-03-30,1
O0576,C115,P109,2026-05-17,1
O0577,C115,P033,2026-07-16,1
O0578,C116,P156,2025-08-01,1
O0579,C116,P127,2025-09-19,3
O0580,C117,P107,2025-07-14,1
O0581,C117,P129,2026-01-11,1
O0582,C117,P070,2026-05-31,1
O0583,C117,P124,2026-06-15,1
O0584,C118,P102,2025-11-20,1
O0585,C118,P185,2026-04-15,1
O0586,C118,P084,2026-07-11,2
O0587,C119,P042,2025-07-31,1
O0588,C119,P090,2026-04-30,1
O0589,C119,P013,2026-07-01,1
O0590,C120,P030,2025-08-25,2
O0591,C120,P005,2025-08-25,1
O0592,C120,P180,2025-12-11,1
O0593,C120,P189,2025-12-14,1
O0594,C120,P127,2025-12-16,1
O0595,C120,P130,2026-05-03,1
O0596,C120,P047,2026-05-10,1
O0597,C121,P084,2025-07-22,1
O0598,C121,P047,2025-08-10,1
O0599,C121,P041,2025-12-15,1
O0600,C121,P182,2026-02-07,1
O0601,C121,P005,2026-03-24,1
O0602,C121,P072,2026-07-18,1
O0603,C122,P031,2025-09-23,1
O0604,C122,P083,2025-09-24,1
O0605,C122,P047,2026-02-14,1
O0606,C123,P098,2025-07-27,1
O0607,C123,P133,2025-09-03,2
O0608,C123,P093,2026-02-19,1
O0609,C123,P180,2026-07-14,1
O0610,C123,P171,2026-07-23,1
O0611,C124,P099,2025-07-12,1
O0612,C124,P063,2025-09-17,1
O0613,C124,P167,2025-11-03,1
O0614,C124,P012,2026-02-16,2
O0615,C124,P096,2026-04-12,1
O0616,C124,P001,2026-06-13,2
O0617,C124,P045,2026-07-31,1
O0618,C125,P187,2025-07-17,1
O0619,C125,P152,2025-08-03,1
O0620,C125,P073,2025-10-07,1
O0621,C125,P090,2025-11-08,1
O0622,C125,P055,2026-01-29,2
O0623,C125,P185,2026-02-11,1
O0624,C126,P125,2025-10-10,1
O0625,C126,P072,2025-10-28,1
O0626,C126,P023,2025-12-05,1
O0627,C126,P146,2026-02-06,1
O0628,C126,P141,2026-05-17,1
O0629,C126,P199,2026-05-30,1
O0630,C126,P178,2026-07-01,1
O0631,C127,P155,2025-08-23,1
O0632,C127,P190,2025-10-14,1
O0633,C127,P197,2026-05-29,1
O0634,C127,P078,2026-06-24,1
O0635,C128,P144,2025-07-29,1
O0636,C128,P141,2025-12-25,2
O0637,C128,P169,2026-02-23,1
O0638,C129,P110,2025-08-09,1
O0639,C129,P198,2025-08-19,1
O0640,C129,P199,2026-05-14,1
O0641,C129,P155,2026-06-09,1
O0642,C130,P176,2025-08-01,1
O0643,C130,P149,2025-12-06,3
O0644,C130,P095,2025-12-22,1
O0645,C130,P061,2026-03-26,2
O0646,C131,P056,2025-10-27,1
O0647,C131,P156,2025-10-28,1
O0648,C131,P141,2025-11-30,1
O0649,C131,P005,2026-05-22,1
O0650,C131,P004,2026-05-30,1
O0651,C132,P164,2025-08-11,1
O0652,C132,P066,2026-04-11,1
O0653,C132,P044,2026-07-16,1
O0654,C132,P193,2026-08-03,1
O0655,C133,P137,2025-07-11,1
O0656,C133,P165,2026-01-14,1
O0657,C133,P075,2026-02-26,1
O0658,C133,P087,2026-05-28,1
O0659,C133,P052,2026-07-13,1
O0660,C134,P096,2025-09-08,3
O0661,C134,P005,2025-10-06,1
O0662,C134,P195,2026-02-27,1
O0663,C134,P008,2026-03-03,1
O0664,C134,P002,2026-03-21,1
O0665,C134,P084,2026-08-05,1
O0666,C135,P053,2025-10-19,1
O0667,C135,P030,2025-11-12,1
O0668,C135,P007,2025-12-28,1
O0669,C135,P044,2026-01-22,2
O0670,C135,P164,2026-07-31,1
O0671,C136,P155,2025-07-28,3
O0672,C136,P068,2025-08-15,1
O0673,C137,P153,2025-07-07,1
O0674,C137,P180,2025-08-11,1
O0675,C137,P082,2025-10-19,1
O0676,C137,P114,2026-01-16,1
O0677,C137,P105,2026-03-20,1
O0678,C137,P077,2026-03-26,1
O0679,C137,P076,2026-06-16,1
O0680,C137,P196,2026-07-14,1
O0681,C138,P060,2025-09-01,1
O0682,C138,P093,2026-05-24,2
O0683,C138,P145,2026-06-02,1
O0684,C138,P005,2026-06-30,1
O0685,C139,P094,2025-11-14,1
O0686,C139,P155,2026-04-11,1
O0687,C139,P109,2026-05-27,1
O0688,C140,P133,2025-07-15,1
O0689,C140,P189,2025-10-03,1
O0690,C140,P009,2025-10-19,1
O0691,C140,P002,2026-04-17,1
O0692,C141,P145,2025-08-05,1
O0693,C141,P193,2025-08-21,1
O0694,C141,P133,2025-09-27,1
O0695,C141,P103,2025-10-22,1
O0696,C141,P144,2025-10-26,1
O0697,C141,P089,2025-12-16,3
O0698,C141,P082,2026-01-03,1
O0699,C141,P191,2026-04-25,1
O0700,C141,P173,2026-07-10,1
O0701,C141,P135,2026-08-05,1
O0702,C142,P199,2025-08-11,1
O0703,C142,P043,2025-08-14,1
O0704,C142,P166,2025-09-20,1
O0705,C142,P141,2025-10-21,1
O0706,C142,P092,2025-11-29,1
O0707,C142,P172,2026-01-17,1
O0708,C142,P118,2026-03-30,1
O0709,C142,P031,2026-04-30,1
O0710,C143,P009,2025-09-30,1
O0711,C143,P088,2025-10-18,1
O0712,C143,P014,2026-04-04,1
O0713,C143,P158,2026-04-14,1
O0714,C144,P101,2025-11-15,1
O0715,C144,P071,2026-03-26,1
O0716,C144,P193,2026-04-23,1
O0717,C144,P164,2026-04-23,2
O0718,C144,P168,2026-07-27,1
O0719,C145,P194,2025-11-15,1
O0720,C145,P049,2025-12-29,1
O0721,C145,P152,2026-05-10,1
O0722,C145,P133,2026-06-07,1
O0723,C145,P113,2026-06-10,1
O0724,C146,P198,2025-07-08,1
O0725,C146,P108,2025-07-17,1
O0726,C146,P116,2025-10-27,1
O0727,C146,P176,2025-11-10,1
O0728,C146,P136,2026-05-30,1
O0729,C146,P092,2026-06-21,1
O0730,C146,P155,2026-07-26,1
O0731,C147,P062,2025-07-10,1
O0732,C147,P002,2025-07-20,1
O0733,C147,P070,2026-04-20,1
O0734,C147,P106,2026-04-23,1
