review_id,purchase_id,customer_id,product_id,rating,content,written_at
R0034,O0034,C007,P140,4,고민하다 샀는데 잘 산 것 같아요. 히알루론산 들어간 거 찾다가 샀는데 만족합니다.,2026-06-07
R0035,O0035,C008,P104,5,두 통째 쓰는 중이에요. 콜라겐 들어간 거 찾다가 샀는데 만족합니다.,2025-11-06
R0036,O0036,C008,P145,4,재구매입니다. 민감성인데 자극 없이 잘 썼어요.,2025-12-19
R0037,O0037,C008,P194,5,친구가 좋다고 해서 샀는데 만족해요. 산뜻한 제형이라 아침에 쓰기 좋아요.,2026-03-26
R0038,O0038,C008,P012,5,재구매입니다. 민감성인데 자극 없이 잘 썼어요. 안준서 언니가 쓰는 거 보고 따라 샀습니다.,2026-04-09
R0039,O0039,C009,P100,4,친구가 좋다고 해서 샀는데 만족해요. 물처럼 묽은 제형이라 아침에 쓰기 좋아요.,2026-01-31
R0040,O0040,C009,P170,2,저랑은 안 맞았어요. 지성이라 그런지 발랐더니 조금 따가웠어요.,2026-07-23
R0041,O0041,C010,P082,5,재구매입니다. 녹차 들어간 거 찾다가 샀는데 만족합니다.,2025-08-15
R0042,O0042,C010,P100,1,광고를 너무 믿었나 봐요. 용량 대비 가격이 아쉬워요.,2025-09-22
R0043,O0043,C010,P118,2,환불 고민 중입니다. 얼굴이 한 톤 밝아 보인다는 잘 모르겠어요.,2025-11-25
R0044,O0044,C010,P194,5,재구매입니다. 녹차 들어간 거 찾다가 샀는데 만족합니다. 정태윤님이 추천해줘서 샀어요.,2025-12-21
R0045,O0045,C010,P089,4,샘플 써보고 본품 구매했어요. 중성인데 자극 없이 잘 썼어요. 궁금하신 분은 010-9367-6259으로 문자주세요.,2026-04-28
R0046,O0046,C010,P123,5,재구매입니다. 향이 세지 않아서 좋아요. 안지은 언니가 쓰는 거 보고 따라 샀습니다.,2026-06-27
R0047,O0047,C011,P095,2,다음엔 다른 거 살 것 같아요. 용량 대비 가격이 아쉬워요.,2025-09-29
R0048,O0048,C011,P149,3,기대가 컸나 봐요. 향이 세지 않아서 좋아요. 재고 문의는 010 9338 5764 로 부탁드려요.,2025-11-30
R0049,O0049,C011,P009,5,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,2026-04-26
R0050,O0050,C012,P191,5,친구가 좋다고 해서 샀는데 만족해요. 산뜻한 제형이라 아침에 쓰기 좋아요.,2025-08-14
R0051,O0051,C012,P001,5,재구매입니다. 비타민C 들어간 거 찾다가 샀는데 만족합니다.,2025-10-08
R0052,O0052,C012,P058,5,두 통째 쓰는 중이에요. 눈가가 덜 접힌다는 게 느껴져요.,2026-01-11
R0053,O0053,C012,P085,3,나쁘진 않은데 특별하진 않네요. 레티놀 들어간 거 찾다가 샀는데 만족합니다. 수원 불당동 사는데 근처 매장에도 있더라고요.,2026-05-21
R0054,O0054,C012,P096,4,친구가 좋다고 해서 샀는데 만족해요. 레티놀 들어간 거 찾다가 샀는데 만족합니다.,2026-06-23
R0055,O0055,C012,P149,5,고민하다 샀는데 잘 산 것 같아요. 탱탱한 느낌이 오래간다는 게 느껴져요. 궁금하신 분은 010-2982-1557으로 문자주세요.,2026-07-15
R0056,O0056,C013,P004,2,다음엔 다른 거 살 것 같아요. 탱탱한 느낌이 오래간다는 잘 모르겠어요.,2025-09-25
R0057,O0057,C013,P136,4,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,2025-11-06
R0058,O0058,C013,P144,4,샘플 써보고 본품 구매했어요. 산뜻한 제형이라 아침에 쓰기 좋아요.,2025-12-09
R0059,O0059,C013,P165,1,광고를 너무 믿었나 봐요. 건성이라 그런지 발랐더니 조금 따가웠어요.,2025-12-12
R0060,O0060,C013,P081,4,고민하다 샀는데 잘 산 것 같아요. 건성인데 자극 없이 잘 썼어요.,2026-03-22
R0061,O0061,C013,P119,5,"재구매입니다. 콜라겐 들어간 거 찾다가 샀는데 만족합니다. 신지아이라고 하고요, 매장 직원분이 친절했어요.",2026-05-23
R0062,O0062,C013,P067,5,고민하다 샀는데 잘 산 것 같아요. 물처럼 묽은 제형이라 아침에 쓰기 좋아요.,2026-06-10
R0063,O0063,C013,P132,4,고민하다 샀는데 잘 산 것 같아요. 콜라겐 들어간 거 찾다가 샀는데 만족합니다.,2026-07-19
R0064,O0064,C014,P142,2,광고를 너무 믿었나 봐요. 용량 대비 가격이 아쉬워요. 재고 문의는 010 2241 3537 로 부탁드려요.,2025-08-09
R0065,O0065,C014,P168,5,샘플 써보고 본품 구매했어요. 복합성인데 자극 없이 잘 썼어요.,2025-09-12
R0066,O0066,C014,P187,4,재구매입니다. 복합성인데 자극 없이 잘 썼어요. 카톡 아이디 dohyun65 입니다.,2025-10-21
R0067,O0067,C014,P055,5,친구가 좋다고 해서 샀는데 만족해요. 복합성인데 자극 없이 잘 썼어요.,2025-10-31
R0068,O0068,C014,P039,5,고민하다 샀는데 잘 산 것 같아요. 눈가가 덜 접힌다는 게 느껴져요.,2026-07-08
R0069,O0069,C015,P181,3,무난해요. 꾸덕한 제형이라 아침에 쓰기 좋아요.,2025-08-09
R0070,O0070,C015,P171,1,저랑은 안 맞았어요. 민감성이라 그런지 발랐더니 조금 따가웠어요.,2025-12-06
R0071,O0071,C015,P066,4,두 통째 쓰는 중이에요. 약산성 아미노산 들어간 거 찾다가 샀는데 만족합니다.,2026-03-15
R0072,O0072,C016,P099,5,샘플 써보고 본품 구매했어요. 향이 세지 않아서 좋아요. 고양 사는 임유진입니다. 배송 빨랐어요.,2025-08-19
R0073,O0073,C016,P062,3,기대가 컸나 봐요. 산뜻한 제형이라 아침에 쓰기 좋아요.,2025-10-03
R0074,O0074,C016,P194,5,두 통째 쓰는 중이에요. 겉돌던 게 없어졌다는 게 느껴져요.,2025-10-15
R0075,O0075,C017,P078,1,광고를 너무 믿었나 봐요. 얼굴이 한 톤 밝아 보인다는 잘 모르겠어요.,2025-10-06
R0076,O0076,C017,P158,4,샘플 써보고 본품 구매했어요. 얼굴이 한 톤 밝아 보인다는 게 느껴져요.,2026-01-03
R0077,O0077,C017,P176,4,친구가 좋다고 해서 샀는데 만족해요. 중성인데 자극 없이 잘 썼어요.,2026-01-27
R0078,O0078,C017,P121,4,고민하다 샀는데 잘 산 것 같아요. 속건조가 덜하다는 게 느껴져요.,2026-02-24
R0079,O0079,C017,P194,5,샘플 써보고 본품 구매했어요. 중성인데 자극 없이 잘 썼어요.,2026-04-11
R0080,O0080,C017,P149,5,친구가 좋다고 해서 샀는데 만족해요. 쌀겨 들어간 거 찾다가 샀는데 만족합니다. 청주 사는 안상우입니다. 배송 빨랐어요.,2026-05-28
R0081,O0081,C017,P072,3,가격 생각하면 이 정도는 하는 것 같아요. 향이 세지 않아서 좋아요.,2026-05-31
R0082,O0082,C017,P073,2,저랑은 안 맞았어요. 중성이라 그런지 발랐더니 조금 따가웠어요.,2026-07-04
R0083,O0083,C018,P155,5,샘플 써보고 본품 구매했어요. 붉은 기가 빨리 가라앉는다는 게 느껴져요. 샘플 문의는 soyul71@example.com 로 주세요.,2025-08-16
R0084,O0084,C018,P016,4,두 통째 쓰는 중이에요. 젤 같은 제형이라 아침에 쓰기 좋아요.,2025-08-24
R0085,O0085,C018,P110,4,두 통째 쓰는 중이에요. 물처럼 묽은 제형이라 아침에 쓰기 좋아요.,2026-04-15
R0086,O0086,C018,P068,5,두 통째 쓰는 중이에요. 민감성인데 자극 없이 잘 썼어요.,2026-05-25
R0087,O0087,C018,P183,1,광고를 너무 믿었나 봐요. 얼굴이 한 톤 밝아 보인다는 잘 모르겠어요.,2026-06-29
R0088,O0088,C019,P019,5,고민하다 샀는데 잘 산 것 같아요. 결이 정돈된 느낌이 든다는 게 느껴져요.,2025-09-27
R0089,O0089,C019,P124,5,고민하다 샀는데 잘 산 것 같아요. 꾸덕한 제형이라 아침에 쓰기 좋아요.,2026-02-28
R0090,O0090,C020,P140,4,재구매입니다. 가볍게 스미는 제형이라 아침에 쓰기 좋아요.,2025-11-30
R0091,O0091,C020,P033,3,"가격 생각하면 이 정도는 하는 것 같아요. 향이 세지 않아서 좋아요. 김보민이라고 하고요, 매장 직원분이 친절했어요.",2026-01-06
R0092,O0092,C020,P074,5,친구가 좋다고 해서 샀는데 만족해요. 레티놀 들어간 거 찾다가 샀는데 만족합니다.,2026-03-01
R0093,O0093,C020,P107,4,고민하다 샀는데 잘 산 것 같아요. 건성인데 자극 없이 잘 썼어요.,2026-07-18
R0094,O0094,C021,P008,3,가격 생각하면 이 정도는 하는 것 같아요. 나이아신아마이드 들어간 거 찾다가 샀는데 만족합니다. 서울 사는 박혜원입니다. 배송 빨랐어요.,2025-07-19
R0095,O0095,C021,P157,4,두 통째 쓰는 중이에요. 병풀 들어간 거 찾다가 샀는데 만족합니다.,2025-10-26
R0096,O0096,C021,P141,3,무난해요. 향이 세지 않아서 좋아요.,2026-02-19
R0097,O0097,C021,P021,5,두 통째 쓰는 중이에요. 민감성인데 자극 없이 잘 썼어요. 카톡 아이디 hyunwoo47 입니다.,2026-06-30
R0098,O0098,C022,P099,5,고민하다 샀는데 잘 산 것 같아요. 중성인데 자극 없이 잘 썼어요. 궁금하신 분은 010-5537-2579으로 문자주세요.,2025-11-06
R0099,O0099,C022,P048,5,두 통째 쓰는 중이에요. 향이 세지 않아서 좋아요.,2025-12-23
R0100,O0100,C022,P101,5,샘플 써보고 본품 구매했어요. 향이 세지 않아서 좋아요. 수원 행신동 사는데 근처 매장에도 있더라고요.,2026-05-28
R0101,O0101,C022,P139,1,다음엔 다른 거 살 것 같아요. 생각보다 끈적여서 아침엔 못 쓰겠어요.,2026-06-11
R0102,O0102,C023,P103,5,두 통째 쓰는 중이에요. 건성인데 자극 없이 잘 썼어요. 재고 문의는 010 8394 6548 로 부탁드려요.,2025-09-01
R0103,O0103,C023,P061,5,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,2025-11-09
R0104,O0104,C023,P068,2,저랑은 안 맞았어요. 용량 대비 가격이 아쉬워요.,2026-01-19
R0105,O0105,C023,P087,3,나쁘진 않은데 특별하진 않네요. 병풀 들어간 거 찾다가 샀는데 만족합니다. 강우진 언니가 쓰는 거 보고 따라 샀습니다.,2026-04-03
R0106,O0106,C023,P074,5,두 통째 쓰는 중이에요. 꾸덕한 제형이라 아침에 쓰기 좋아요.,2026-05-30
R0107,O0107,C023,P040,5,친구가 좋다고 해서 샀는데 만족해요. 촉촉하게 감싸는 제형이라 아침에 쓰기 좋아요. 부산 상무지구 사는데 근처 매장에도 있더라고요.,2026-07-06
R0108,O0108,C024,P184,4,고민하다 샀는데 잘 산 것 같아요. 약산성 아미노산 들어간 거 찾다가 샀는데 만족합니다.,2025-07-28
R0109,O0109,C024,P171,5,고민하다 샀는데 잘 산 것 같아요. 건성인데 자극 없이 잘 썼어요. 저는 박소율인데 벌써 세 번째 재구매예요.,2025-08-19
R0110,O0110,C024,P173,1,저랑은 안 맞았어요. 향이 저한테는 좀 강했어요.,2025-12-31
R0111,O0111,C024,P155,5,친구가 좋다고 해서 샀는데 만족해요. 건성인데 자극 없이 잘 썼어요.,2026-01-01
R0112,O0112,C024,P084,5,재구매입니다. 속건조가 덜하다는 게 느껴져요.,2026-03-16
R0113,O0113,C024,P143,5,고민하다 샀는데 잘 산 것 같아요. 프로폴리스 들어간 거 찾다가 샀는데 만족합니다.,2026-03-28
R0114,O0114,C024,P133,4,두 통째 쓰는 중이에요. 얼굴이 한 톤 밝아 보인다는 게 느껴져요. 성남 수지구 사는데 근처 매장에도 있더라고요.,2026-07-23
R0115,O0115,C024,P156,5,재구매입니다. 약산성 아미노산 들어간 거 찾다가 샀는데 만족합니다. 성남 수지구 사는데 근처 매장에도 있더라고요.,2026-07-23
R0116,O0116,C025,P012,3,무난해요. 비타민C 들어간 거 찾다가 샀는데 만족합니다. 서도현 언니가 쓰는 거 보고 따라 샀습니다.,2025-09-08
R0117,O0117,C025,P060,4,샘플 써보고 본품 구매했어요. 붉은 기가 빨리 가라앉는다는 게 느껴져요.,2026-04-04
R0118,O0118,C025,P058,4,두 통째 쓰는 중이에요. 눈가가 덜 접힌다는 게 느껴져요. 카톡 아이디 hyunwoo88 입니다.,2026-08-01
R0119,O0119,C026,P032,3,기대가 컸나 봐요. 지성인데 자극 없이 잘 썼어요.,2025-07-12
R0120,O0120,C026,P143,2,광고를 너무 믿었나 봐요. 향이 저한테는 좀 강했어요. 공구 원하시면 01049078214 연락주세요.,2025-08-13
R0121,O0121,C026,P023,5,두 통째 쓰는 중이에요. 젤 같은 제형이라 아침에 쓰기 좋아요. 황유진님이 추천해줘서 샀어요.,2026-01-08
R0122,O0122,C026,P096,3,나쁘진 않은데 특별하진 않네요. 지성인데 자극 없이 잘 썼어요.,2026-01-23
R0123,O0123,C026,P102,3,나쁘진 않은데 특별하진 않네요. 향이 세지 않아서 좋아요. 재고 문의는 010 4907 8214 로 부탁드려요.,2026-03-22
R0124,O0124,C026,P008,4,두 통째 쓰는 중이에요. 지성인데 자극 없이 잘 썼어요.,2026-07-06
R0125,O0125,C027,P118,4,"친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요. 송나은이라고 하고요, 매장 직원분이 친절했어요.",2025-07-07
R0126,O0126,C027,P152,5,샘플 써보고 본품 구매했어요. 건성인데 자극 없이 잘 썼어요.,2025-10-14
R0127,O0127,C027,P074,4,친구가 좋다고 해서 샀는데 만족해요. 올라오던 게 덜하다는 게 느껴져요. 궁금하신 분은 010-4330-3042으로 문자주세요.,2025-10-21
R0128,O0128,C027,P089,4,친구가 좋다고 해서 샀는데 만족해요. 눈가가 덜 접힌다는 게 느껴져요.,2026-01-18
R0129,O0129,C027,P082,5,친구가 좋다고 해서 샀는데 만족해요. 녹차 들어간 거 찾다가 샀는데 만족합니다.,2026-02-01
R0130,O0130,C027,P121,4,재구매입니다. 녹차 들어간 거 찾다가 샀는데 만족합니다.,2026-02-25
R0131,O0131,C027,P122,5,재구매입니다. 건성인데 자극 없이 잘 썼어요.,2026-04-28
R0132,O0132,C027,P093,3,기대가 컸나 봐요. 콜라겐 들어간 거 찾다가 샀는데 만족합니다. 카톡 아이디 sunghyun43 입니다.,2026-06-26
R0133,O0133,C028,P031,4,두 통째 쓰는 중이에요. 가볍게 스미는 제형이라 아침에 쓰기 좋아요.,2025-07-08
R0134,O0134,C028,P179,3,무난해요. 향이 세지 않아서 좋아요.,2025-09-01
R0135,O0135,C028,P042,2,저랑은 안 맞았어요. 속건조가 덜하다는 잘 모르겠어요. 최지은님이 추천해줘서 샀어요.,2025-10-23
R0136,O0136,C028,P071,5,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,2025-11-26
R0137,O0137,C028,P171,3,무난해요. 복합성인데 자극 없이 잘 썼어요.,2025-12-18
R0138,O0138,C028,P133,5,고민하다 샀는데 잘 산 것 같아요. 복합성인데 자극 없이 잘 썼어요. 카톡 아이디 seoyeon43 입니다.,2026-01-27
R0139,O0139,C028,P190,3,기대가 컸나 봐요. 촉촉하게 감싸는 제형이라 아침에 쓰기 좋아요. 황혜원 언니가 쓰는 거 보고 따라 샀습니다.,2026-04-22
R0140,O0140,C029,P126,4,두 통째 쓰는 중이에요. 꾸덕한 제형이라 아침에 쓰기 좋아요.,2025-11-18
R0141,O0141,C029,P083,2,환불 고민 중입니다. 탱탱한 느낌이 오래간다는 잘 모르겠어요.,2025-12-20
R0142,O0142,C029,P139,4,두 통째 쓰는 중이에요. 민감성인데 자극 없이 잘 썼어요.,2026-06-20
R0143,O0143,C030,P012,5,고민하다 샀는데 잘 산 것 같아요. 복합성인데 자극 없이 잘 썼어요.,2025-07-12
R0144,O0144,C030,P199,3,가격 생각하면 이 정도는 하는 것 같아요. 향이 세지 않아서 좋아요. 대구 불당동 사는데 근처 매장에도 있더라고요.,2025-07-28
R0145,O0145,C030,P155,5,재구매입니다. 세라마이드 들어간 거 찾다가 샀는데 만족합니다.,2025-08-18
R0146,O0146,C030,P145,4,친구가 좋다고 해서 샀는데 만족해요. 비타민C 들어간 거 찾다가 샀는데 만족합니다.,2025-09-22
R0147,O0147,C030,P085,4,친구가 좋다고 해서 샀는데 만족해요. 레티놀 들어간 거 찾다가 샀는데 만족합니다.,2026-01-14
R0148,O0148,C030,P114,4,고민하다 샀는데 잘 산 것 같아요. 향이 세지 않아서 좋아요.,2026-02-10
R0149,O0149,C031,P162,2,다음엔 다른 거 살 것 같아요. 향이 저한테는 좀 강했어요.,2025-08-20
R0150,O0150,C031,P058,5,고민하다 샀는데 잘 산 것 같아요. 눈가가 덜 접힌다는 게 느껴져요.,2025-11-04
R0151,O0151,C031,P137,5,재구매입니다. 지성인데 자극 없이 잘 썼어요.,2026-01-17
R0152,O0152,C031,P080,4,친구가 좋다고 해서 샀는데 만족해요. 가볍게 스미는 제형이라 아침에 쓰기 좋아요.,2026-01-24
R0153,O0153,C031,P024,3,무난해요. 지성인데 자극 없이 잘 썼어요.,2026-04-22
R0154,O0154,C031,P118,4,샘플 써보고 본품 구매했어요. 얼굴이 한 톤 밝아 보인다는 게 느껴져요.,2026-05-02
R0155,O0155,C031,P028,5,고민하다 샀는데 잘 산 것 같아요. 속건조가 덜하다는 게 느껴져요.,2026-05-19
R0156,O0156,C031,P012,5,고민하다 샀는데 잘 산 것 같아요. 비타민C 들어간 거 찾다가 샀는데 만족합니다.,2026-08-01
R0157,O0157,C032,P096,5,샘플 써보고 본품 구매했어요. 얼굴이 한 톤 밝아 보인다는 게 느껴져요. 카톡 아이디 yeji35 입니다.,2025-10-08
R0158,O0158,C032,P134,3,가격 생각하면 이 정도는 하는 것 같아요. 히알루론산 들어간 거 찾다가 샀는데 만족합니다.,2025-10-28
R0159,O0159,C032,P194,4,샘플 써보고 본품 구매했어요. 촉촉하게 감싸는 제형이라 아침에 쓰기 좋아요.,2025-12-16
R0160,O0160,C032,P099,5,"친구가 좋다고 해서 샀는데 만족해요. 지성인데 자극 없이 잘 썼어요. 강지은이라고 하고요, 매장 직원분이 친절했어요.",2026-06-20
R0161,O0161,C033,P144,5,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,2025-08-04
R0162,O0162,C033,P076,5,두 통째 쓰는 중이에요. 민감성인데 자극 없이 잘 썼어요.,2025-10-20
R0163,O0163,C033,P179,5,샘플 써보고 본품 구매했어요. 민감성인데 자극 없이 잘 썼어요.,2026-02-03
R0164,O0164,C033,P082,5,샘플 써보고 본품 구매했어요. 젤 같은 제형이라 아침에 쓰기 좋아요.,2026-04-26
R0165,O0165,C033,P037,5,두 통째 쓰는 중이에요. 향이 세지 않아서 좋아요.,2026-06-24
R0166,O0166,C034,P174,3,기대가 컸나 봐요. 향이 세지 않아서 좋아요.,2025-11-26
R0167,O0167,C034,P045,4,고민하다 샀는데 잘 산 것 같아요. 비타민C 들어간 거 찾다가 샀는데 만족합니다. 공구 원하시면 01069007203 연락주세요.,2025-11-27
R0168,O0168,C034,P183,2,저랑은 안 맞았어요. 생각보다 끈적여서 아침엔 못 쓰겠어요. 신재민님이 추천해줘서 샀어요.,2025-12-23
R0169,O0169,C034,P125,1,"다음엔 다른 거 살 것 같아요. 중성이라 그런지 발랐더니 조금 따가웠어요. 박하윤이라고 하고요, 매장 직원분이 친절했어요.",2026-02-05
R0170,O0170,C034,P152,3,가격 생각하면 이 정도는 하는 것 같아요. 중성인데 자극 없이 잘 썼어요. 저는 박하윤인데 벌써 세 번째 재구매예요.,2026-02-21
R0171,O0171,C034,P168,4,친구가 좋다고 해서 샀는데 만족해요. 결이 정돈된 느낌이 든다는 게 느껴져요. 권다은 언니가 쓰는 거 보고 따라 샀습니다.,2026-05-23
R0172,O0172,C034,P146,5,"친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요. 박하윤이라고 하고요, 매장 직원분이 친절했어요.",2026-06-16
R0173,O0173,C035,P031,5,친구가 좋다고 해서 샀는데 만족해요. 건성인데 자극 없이 잘 썼어요. 샘플 문의는 yerin46@example.com 로 주세요.,2025-11-27
R0174,O0174,C035,P183,5,재구매입니다. 향이 세지 않아서 좋아요. 카톡 아이디 minjun32 입니다.,2025-12-18
R0175,O0175,C035,P078,3,가격 생각하면 이 정도는 하는 것 같아요. 건성인데 자극 없이 잘 썼어요.,2026-03-03
R0176,O0176,C035,P168,2,다음엔 다른 거 살 것 같아요. 용량 대비 가격이 아쉬워요.,2026-03-17
R0177,O0177,C035,P006,5,고민하다 샀는데 잘 산 것 같아요. 건성인데 자극 없이 잘 썼어요.,2026-05-03
R0178,O0178,C036,P035,3,무난해요. 히알루론산 들어간 거 찾다가 샀는데 만족합니다. 안은수님이 추천해줘서 샀어요.,2025-07-18
R0179,O0179,C036,P086,4,친구가 좋다고 해서 샀는데 만족해요. 콜라겐 들어간 거 찾다가 샀는데 만족합니다. 재고 문의는 010 2413 2663 로 부탁드려요.,2025-08-04
R0180,O0180,C036,P057,5,재구매입니다. 히알루론산 들어간 거 찾다가 샀는데 만족합니다.,2025-10-14
R0181,O0181,C036,P073,4,샘플 써보고 본품 구매했어요. 물처럼 묽은 제형이라 아침에 쓰기 좋아요.,2025-11-03
R0182,O0182,C036,P048,1,환불 고민 중입니다. 눈가가 덜 접힌다는 잘 모르겠어요.,2026-02-01
R0183,O0183,C036,P096,3,나쁘진 않은데 특별하진 않네요. 향이 세지 않아서 좋아요.,2026-02-11
R0184,O0184,C036,P095,5,친구가 좋다고 해서 샀는데 만족해요. 지성인데 자극 없이 잘 썼어요.,2026-04-20
R0185,O0185,C036,P001,5,고민하다 샀는데 잘 산 것 같아요. 지성인데 자극 없이 잘 썼어요.,2026-04-24
R0186,O0186,C037,P132,4,재구매입니다. 탱탱한 느낌이 오래간다는 게 느껴져요.,2025-07-28
R0187,O0187,C037,P176,3,무난해요. 눈가가 덜 접힌다는 게 느껴져요. 샘플 문의는 siwoo19@example.com 로 주세요.,2025-10-20
R0188,O0188,C037,P037,4,친구가 좋다고 해서 샀는데 만족해요. 녹차 들어간 거 찾다가 샀는데 만족합니다.,2026-07-19
R0189,O0189,C038,P072,3,나쁘진 않은데 특별하진 않네요. 가볍게 스미는 제형이라 아침에 쓰기 좋아요. 천안 복대동 사는데 근처 매장에도 있더라고요.,2025-09-20
R0190,O0190,C038,P022,5,친구가 좋다고 해서 샀는데 만족해요. 향이 세지 않아서 좋아요.,2026-01-07
R0191,O0191,C038,P191,4,샘플 써보고 본품 구매했어요. 건성인데 자극 없이 잘 썼어요.,2026-05-09
R0192,O0192,C038,P091,5,친구가 좋다고 해서 샀는데 만족해요. 쌀겨 들어간 거 찾다가 샀는데 만족합니다. 궁금하신 분은 010-8310-2146으로 문자주세요.,2026-06-11
R0193,O0193,C038,P093,4,재구매입니다. 건성인데 자극 없이 잘 썼어요. 저는 장예린인데 벌써 세 번째 재구매예요.,2026-07-02
R0194,O0194,C039,P050,4,두 통째 쓰는 중이에요. 탱탱한 느낌이 오래간다는 게 느껴져요.,2025-10-07
